BHK,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Floor_num,Floor_building
2,1100,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
2,800,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,2,3
2,518,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,5,12
3,1500,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Owner,1,1
3,2235,Carpet Area,Hyderabad,Unfurnished,Family,5,Contact Agent,1,10
2,1050,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent,3,3
2,625,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,9,18
2,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,6
4,2500,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,5,12
2,650,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
2,650,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
2,500,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1,2
2,1000,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,4,4
1,550,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,2,5
3,1100,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
1,550,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,5
4,2600,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Agent,2,2
2,800,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
2,1250,Super Area,Hyderabad,Unfurnished,Family,2,Contact Owner,1,1
3,1850,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,3,3
2,1274,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,9,32
1,400,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,2,2
1,450,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,6,12
2,1200,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,1,3
4,3000,Super Area,Delhi,Semi-Furnished,Bachelors/Family,5,Contact Agent,4,4
2,550,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,3
1,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
3,1850,Super Area,Chennai,Unfurnished,Bachelors,3,Contact Owner,1,1
1,450,Super Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,1,4
1,600,Super Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,2,4
1,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
1,446,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
2,500,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,850,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
4,1000,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,15,20
3,1260,Super Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,1,2
2,650,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
1,500,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
2,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,4
2,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
4,2700,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,10,12
2,850,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,2,3
1,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,750,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,10,20
2,800,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,550,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,4,7
2,925,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,10,22
4,3000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,39,60
2,1200,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3,4
2,700,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
3,1565,Carpet Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,1,6
2,970,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1,3
3,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,550,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,7
4,1650,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,13,18
3,1330,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,1,3
2,845,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,7,8
1,700,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
2,1000,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
2,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
1,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
2,890,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,45,77
2,100,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
3,1250,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,2,4
2,850,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
1,375,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,6,24
3,1430,Carpet Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1,1
1,450,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,5,12
2,900,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
1,550,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,3,4
1,424,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,16,23
2,750,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,1,6
2,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
2,1150,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,4
3,1700,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,10,13
2,1020,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,4
4,2608,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,1,4
3,1200,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,3
2,1500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
2,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
3,150,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,2,4
2,500,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,3
2,900,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
3,1645,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,8,19
3,1500,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner,2,3
3,1150,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,1,6
1,330,Super Area,Mumbai,Semi-Furnished,Family,1,Contact Owner,4,6
1,270,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,1,4
3,1800,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent,10,11
3,1800,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,4,4
1,650,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
4,4105,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,11,25
2,1210,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4,5
1,1300,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2,4
2,830,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,1,2
2,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,2
3,1400,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,4,5
3,1200,Carpet Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,2,2
3,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,700,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,685,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,10,18
1,600,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
1,540,Carpet Area,Hyderabad,Unfurnished,Bachelors,1,Contact Agent,1,5
1,580,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
1,600,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
1,435,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,3,5
1,400,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2,4
1,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,5
1,450,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,4
4,1454,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,5,7
4,2000,Carpet Area,Mumbai,Unfurnished,Bachelors,5,Contact Agent,27,27
3,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,1,1
4,2400,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner,2,4
4,1358,Carpet Area,Mumbai,Semi-Furnished,Family,4,Contact Agent,25,50
3,1450,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2,5
2,650,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
1,570,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
2,650,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,2,4
2,500,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
2,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,5
3,3000,Super Area,Chennai,Furnished,Family,4,Contact Agent,1,1
2,900,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,690,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,850,Super Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,2,2
2,1260,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,1,1
3,1300,Carpet Area,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent,8,16
2,600,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
2,1000,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,10,12
2,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
4,1400,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,10,25
3,1450,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,4,7
2,670,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Owner,4,16
1,710,Super Area,Kolkata,Furnished,Bachelors,1,Contact Agent,1,1
2,1150,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,4,9
2,1315,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
1,270,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner,15,15
1,415,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,5,8
1,500,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
1,600,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
2,800,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
3,1350,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,1,2
1,600,Carpet Area,Chennai,Unfurnished,Family,1,Contact Owner,1,2
1,355,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,1
2,300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
2,55,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
1,150,Carpet Area,Chennai,Unfurnished,Bachelors,1,Contact Owner,1,3
3,1650,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Owner,1,1
1,385,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,11,20
2,750,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,6,16
2,650,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,15,24
2,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,5
2,84,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
2,1000,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,1,2
2,850,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10,23
3,1246,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,7,18
3,100,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,4
2,1300,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,5
1,650,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,18,19
3,1350,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent,20,31
1,350,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
3,904,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1,5
3,1650,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,3,4
2,450,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,1500,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,1,1
2,700,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,3
1,100,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,2,5
3,1375,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,15,60
2,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,1
1,480,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,4,4
1,480,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,2,4
2,926,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
3,1300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,1,2
2,80,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,5
1,680,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
2,700,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
3,1500,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,4
2,900,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,440,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2,4
2,1050,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
2,800,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner,1,2
3,1950,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,2,5
3,1150,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,32,41
1,125,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
3,1200,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
2,70,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,5
3,1100,Super Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,4
1,550,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
3,1200,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner,1,3
2,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
3,900,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
1,225,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,6,24
1,550,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,5,7
2,975,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,1,2
1,500,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
2,530,Super Area,Kolkata,Semi-Furnished,Family,1,Contact Owner,2,3
3,2000,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,1,4
2,1070,Carpet Area,Hyderabad,Unfurnished,Family,2,Contact Owner,2,5
2,805,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,48,68
1,360,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,4,20
1,500,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
2,660,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,25,43
3,2000,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,3,4
2,140,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
2,600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
1,300,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,4,5
2,1000,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
1,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,90,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2,3
2,600,Super Area,Chennai,Unfurnished,Family,2,Contact Owner,1,1
2,1150,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3,5
3,925,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,16,36
1,700,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
2,1250,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,3
1,350,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
1,500,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
3,1050,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,5,10
2,800,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,14,14
2,700,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3,3
2,1150,Carpet Area,Bangalore,Furnished,Bachelors,2,Contact Agent,2,4
3,1400,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,28,31
3,1760,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,8,9
2,800,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,2
2,780,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,17,22
1,250,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Owner,1,4
2,800,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2,3
1,700,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,4
2,800,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,2,2
2,950,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,3,3
3,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,4
3,1400,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,11,13
2,900,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
3,1100,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
1,350,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
1,350,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
2,623,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2,3
2,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,2
2,1200,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,6
3,1955,Super Area,Hyderabad,Unfurnished,Bachelors,3,Contact Agent,1,19
2,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
2,800,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,2
2,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
3,1550,Carpet Area,Hyderabad,Unfurnished,Bachelors,3,Contact Owner,1,5
2,1113,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,2,4
3,1875,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,3
2,1100,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,5
1,570,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,6,7
2,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,1,2
1,800,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
3,1300,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,4
3,2000,Super Area,Hyderabad,Furnished,Family,3,Contact Owner,1,5
2,900,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,1150,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
1,100,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,1
2,1100,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
2,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,1020,Carpet Area,Chennai,Furnished,Bachelors/Family,2,Contact Agent,1,11
